Algoritmo;Archivos;Cantidad;Patrones;Tiempo_Promedio(ns);Varianza(ns)
Robin-Karp;Proteins;10;patrones1_100_Existente;63143283000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5424204000;0 
FM-Index;Proteins;20;patrones1_100_Existente;27196000;0 
KMP;Proteins;20;patrones1_100_Existente;104044112000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;343007186000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;30231259000;0 
FM-Index;Proteins;30;patrones1_100_Existente;145563000;0 
KMP;Proteins;30;patrones1_100_Existente;247278370000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;505887387000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;48621208000;0 
FM-Index;Proteins;40;patrones1_100_Existente;545116000;0 
KMP;Proteins;40;patrones1_100_Existente;180813925000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;270706362000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;27433506000;0 
FM-Index;Proteins;10;patrones1_100_Existente;12378000;0 
KMP;Proteins;10;patrones1_100_Existente;30172990000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;63387203000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5490017000;0 
FM-Index;Proteins;20;patrones1_100_Existente;14649000;0 
KMP;Proteins;20;patrones1_100_Existente;60032259000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;132112636000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;12333896000;0 
FM-Index;Proteins;30;patrones1_100_Existente;85346000;0 
KMP;Proteins;30;patrones1_100_Existente;104609376000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;193996078000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;19371479000;0 
FM-Index;Proteins;40;patrones1_100_Existente;151465000;0 
KMP;Proteins;40;patrones1_100_Existente;121629544000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;258940015000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;25527847000;0 
FM-Index;Proteins;10;patrones1_100_Existente;5653000;0 
KMP;Proteins;10;patrones1_100_Existente;30385649000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;61475655000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5130798000;0 
FM-Index;Proteins;20;patrones1_100_Existente;15247000;0 
KMP;Proteins;20;patrones1_100_Existente;59597188000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;121321097000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;12046213000;0 
FM-Index;Proteins;30;patrones1_100_Existente;104417000;0 
KMP;Proteins;30;patrones1_100_Existente;84563431000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;179335854000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17705856000;0 
FM-Index;Proteins;40;patrones1_100_Existente;326727000;0 
KMP;Proteins;40;patrones1_100_Existente;110707178000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;263295142000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;25265102000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4312000;0 
KMP;Proteins;10;patrones1_100_Existente;26584094000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;58352433000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5041720000;0 
FM-Index;Proteins;20;patrones1_100_Existente;11288000;0 
KMP;Proteins;20;patrones1_100_Existente;54952429000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;118680688000;0 
